name,token_ids,reaction_ids,product_smiles,entropy,score,warhead_product_smiles,warhead_status
BB-2089 BB-0805,"[2089, 805]",[55],Cc1nn2c(c1Br)CN(c1cnccc1C(C)CNC(=O)OC(C)(C)C)CC2,5.0910325050354,0.8595435716523191,C/C=C/C(=O)NCC(C)c1ccncc1N1CCn2nc(C)c(Br)c2C1,warhead_installed
BB-2072 BB-1640,"[2072, 1640]",[55],CC(C)(C)OC(=O)NCCc1cc(F)ccc1N1CCOc2c(Cl)cc(Br)cc2C1,5.078719139099121,0.8590873514536145,C/C=C/C(=O)NCCc1cc(F)ccc1N1CCOc2c(Cl)cc(Br)cc2C1,warhead_installed
BB-2072 BB-1862,"[2072, 1862]",[107],CCOC(=O)c1cc2c([nH]1)CCCC2(O)c1ccc(F)cc1CCNC(=O)OC(C)(C)C,5.078719139099121,0.8563330292204765,C/C=C/C(=O)NCCc1cc(F)ccc1C1(O)CCCc2[nH]c(C(=O)OCC)cc21,warhead_installed
BB-2078 BB-1453,"[2078, 1453]",[107],COCc1ccc(NC(=O)OC(C)(C)C)cc1C(C)(O)Cn1c(Br)nc2c1c(=O)[nH]c(=O)n2C,5.0787506103515625,0.8563015080859204,C/C=C/C(=O)Nc1ccc(COC)c(C(C)(O)Cn2c(Br)nc3c2c(=O)[nH]c(=O)n3C)c1,warhead_installed
BB-2001 BB-1472,"[2001, 1472]",[55],CO[C@@H]1C[C@@H](c2nc(C)n[nH]2)N(c2cccc3c2CC(NC(=O)OC(C)(C)C)CC3)C1,5.086166858673096,0.8552269092485522,C/C=C/C(=O)NC1CCc2cccc(N3C[C@H](OC)C[C@H]3c3nc(C)n[nH]3)c2C1,warhead_installed
BB-2078 BB-0447,"[2078, 447]",[55],COCc1ccc(NC(=O)OC(C)(C)C)cc1N1CCn2ncc(C#N)c2C1,5.0787506103515625,0.8543950410067583,C/C=C/C(=O)Nc1ccc(COC)c(N2CCn3ncc(C#N)c3C2)c1,warhead_installed
BB-2095 BB-1453,"[2095, 1453]",[107],Cc1cc(C(C)(O)Cn2c(Br)nc3c2c(=O)[nH]c(=O)n3C)c(C)cc1NC(=O)OC(C)(C)C,5.086318016052246,0.8534704975448504,C/C=C/C(=O)Nc1cc(C)c(C(C)(O)Cn2c(Br)nc3c2c(=O)[nH]c(=O)n3C)cc1C,warhead_installed
BB-2002 BB-0199,"[2002, 199]",[107],CCc1noc(NC(=O)OC(C)(C)C)c1C1(O)CCN(c2ncnc3c2cnn3C)CC1,5.070318698883057,0.8520085444959199,C/C=C/C(=O)Nc1onc(CC)c1C1(O)CCN(c2ncnc3c2cnn3C)CC1,warhead_installed
BB-2043 BB-1453,"[2043, 1453]",[47],CC(=O)Cn1c(-c2ccc3c(c2)C(NC(=O)OC(C)(C)C)CCC3=O)nc2c1c(=O)[nH]c(=O)n2C,5.261335849761963,0.8513050766788243,C/C=C/C(=O)NC1CCC(=O)c2ccc(-c3nc4c(c(=O)[nH]c(=O)n4C)n3CC(C)=O)cc21,warhead_installed
BB-2003 BB-0202,"[2003, 202]",[39],Cc1cc2n(n1)CCCN2C1(C(=O)O)CCCc2oc(NC(=O)OC(C)(C)C)nc21,5.243650436401367,0.8512051343800163,C/C=C/C(=O)Nc1nc2c(o1)CCCC2(C(=O)O)N1CCCn2nc(C)cc21,warhead_installed
BB-2097 BB-0721,"[2097, 721]",[107],COc1ccc(C2(O)CCC3CN(C(C)=O)c4cccc2c43)c(CCNC(=O)OC(C)(C)C)c1,5.091676712036133,0.8504804455626143,C/C=C/C(=O)NCCc1cc(OC)ccc1C1(O)CCC2CN(C(C)=O)c3cccc1c32,warhead_installed
BB-2022 BB-0074,"[2022, 74]",[107],COC(=O)c1cc2c([nH]1)C(O)(c1cc(F)ccc1C(=O)CNC(=O)OC(C)(C)C)CCC2,5.267487525939941,0.8500407308019284,C/C=C/C(=O)NCC(=O)c1ccc(F)cc1C1(O)CCCc2cc(C(=O)OC)[nH]c21,warhead_installed
BB-2007 BB-1830,"[2007, 1830]",[50],CC1CC(NC(=O)OC(C)(C)C)=CC(O)(c2cc(C(F)(F)F)cnc2N2CCNCC2)C1,5.255328178405762,0.8473596525135154,C/C=C/C(=O)NC1=CC(O)(c2cc(C(F)(F)F)cnc2N2CCNCC2)CC(C)C1,warhead_installed
BB-2003 BB-0202,"[2003, 202]",[82],Cc1cc2n(n1)CCCN2C1CCCc2oc(NC(=O)OC(C)(C)C)nc21,5.243650436401367,0.8469058478441176,C/C=C/C(=O)Nc1nc2c(o1)CCCC2N1CCCn2nc(C)cc21,warhead_installed
BB-2058 BB-1695,"[2058, 1695]",[47],Cc1cc2c(c(-c3ccc(NC(=O)OC(C)(C)C)c4c3CCCC4)c1)CCNC2,5.083586692810059,0.8458386355929983,C/C=C/C(=O)Nc1ccc(-c2cc(C)cc3c2CCNC3)c2c1CCCC2,warhead_installed
BB-2002 BB-0721,"[2002, 721]",[107],CCc1noc(NC(=O)OC(C)(C)C)c1C1(O)CCC2CN(C(C)=O)c3cccc1c32,5.070318698883057,0.8456774022020919,C/C=C/C(=O)Nc1onc(CC)c1C1(O)CCC2CN(C(C)=O)c3cccc1c32,warhead_installed
BB-2092 BB-1636,"[2092, 1636]",[50],CC1=C(NC(=O)OC(C)(C)C)O/C(=C(/C)C#N)C1(O)c1cc(C)cc2c1OCCCC2=O,5.21198844909668,0.8454410425449057,C/C=C/C(=O)NC1=C(C)C(O)(c2cc(C)cc3c2OCCCC3=O)/C(=C(\C)C#N)O1,warhead_installed
BB-1968 BB-0721,"[1968, 721]",[107],CC(=O)N1CC2CCC(O)(c3ccc(O)c(NC(=O)OC(C)(C)C)c3C)c3cccc1c32,5.096729278564453,0.8438023949755477,C/C=C/C(=O)Nc1c(O)ccc(C2(O)CCC3CN(C(C)=O)c4cccc2c43)c1C,warhead_installed
BB-2002 BB-0757,"[2002, 757]",[107],CCc1cc(C(O)c2c(CC)noc2NC(=O)OC(C)(C)C)cc(C)c1O,5.070318698883057,0.8425480525614646,C/C=C/C(=O)Nc1onc(CC)c1C(O)c1cc(C)c(O)c(CC)c1,warhead_installed
BB-2002 BB-0206,"[2002, 206]",[107],CCc1noc(NC(=O)OC(C)(C)C)c1C1(O)CCC(c2cncc(F)c2)C1,5.070318698883057,0.8409994247822598,C/C=C/C(=O)Nc1onc(CC)c1C1(O)CCC(c2cncc(F)c2)C1,warhead_installed
BB-2002 BB-1214,"[2002, 1214]",[47],CCc1noc(NC(=O)OC(C)(C)C)c1-c1cn(C)c2cc(F)ccc2c1=O,5.070318698883057,0.8403021067108774,C/C=C/C(=O)Nc1onc(CC)c1-c1cn(C)c2cc(F)ccc2c1=O,warhead_installed
BB-2072 BB-1646,"[2072, 1646]",[55],CC1(CCO)CCN(c2ccc(F)cc2CCNC(=O)OC(C)(C)C)C1,5.078719139099121,0.839428622700309,C/C=C/C(=O)NCCc1cc(F)ccc1N1CCC(C)(CCO)C1,warhead_installed
BB-2080 BB-0164,"[2080, 164]",[107],CCOC(=O)C12CCCC1=CC(O)(c1cc(C)c(O)cc1CNC(=O)OC(C)(C)C)C2,5.093694686889648,0.8387512920799085,C/C=C/C(=O)NCc1cc(O)c(C)cc1C1(O)C=C2CCCC2(C(=O)OCC)C1,warhead_installed
BB-2001 BB-1117,"[2001, 1117]",[47],CC(C)(C)OC(=O)NC1CCc2cccc(-c3ccc(C(=O)CCl)cc3)c2C1,5.086166858673096,0.8383383351259003,C/C=C/C(=O)NC1CCc2cccc(-c3ccc(C(=O)CCl)cc3)c2C1,warhead_installed
BB-2002 BB-1466,"[2002, 1466]",[88],CCc1noc(NC(=O)OC(C)(C)C)c1OC1(c2cccc(Cl)c2)CCC(=O)CC1,5.070318698883057,0.8355210521691246,C/C=C/C(=O)Nc1onc(CC)c1OC1(c2cccc(Cl)c2)CCC(=O)CC1,warhead_installed
BB-2026 BB-1912,"[2026, 1912]",[50],CC(=O)Nc1cc2c(cc1C1(O)CC(C)(C)CC(NC(=O)OC(C)(C)C)=C1Br)C(=O)CC2,5.263380527496338,0.834849552506359,C/C=C/C(=O)NC1=C(Br)C(O)(c2cc3c(cc2NC(C)=O)CCC3=O)CC(C)(C)C1,warhead_installed
BB-2045 BB-1912,"[2045, 1912]",[47],CC(=O)Nc1cc2c(cc1-c1cccc3nc(NC(=O)OC(C)(C)C)n(C)c13)C(=O)CC2,5.082790374755859,0.8342732445856282,C/C=C/C(=O)Nc1nc2cccc(-c3cc4c(cc3NC(C)=O)CCC4=O)c2n1C,warhead_installed
BB-2002 BB-1624,"[2002, 1624]",[62],CCc1noc(NC(=O)OC(C)(C)C)c1N1CCOC(c2c(Cl)cccc2OC)C1,5.070318698883057,0.8339445784789221,C/C=C/C(=O)Nc1onc(CC)c1N1CCOC(c2c(Cl)cccc2OC)C1,warhead_installed
BB-2056 BB-0721,"[2056, 721]",[107],CC(=O)N1CC2CCC(O)(c3cnccc3CCNC(=O)OC(C)(C)C)c3cccc1c32,5.081582069396973,0.833687312874346,C/C=C/C(=O)NCCc1ccncc1C1(O)CCC2CN(C(C)=O)c3cccc1c32,warhead_installed
BB-2002 BB-1914,"[2002, 1914]",[62],CCc1noc(NC(=O)OC(C)(C)C)c1N1CCCC(c2ocnc2C(=O)OC)C1,5.070318698883057,0.8334839586433759,C/C=C/C(=O)Nc1onc(CC)c1N1CCCC(c2ocnc2C(=O)OC)C1,warhead_installed
BB-2002 BB-1922,"[2002, 1922]",[62],CCc1noc(NC(=O)OC(C)(C)C)c1N1CCCCc2cc(Cl)ccc21,5.070318698883057,0.8332935822237146,C/C=C/C(=O)Nc1onc(CC)c1N1CCCCc2cc(Cl)ccc21,warhead_installed
BB-2043 BB-0178,"[2043, 178]",[50],CNCc1cc([N+](=O)[O-])cc(C2(O)CCC(NC(=O)OC(C)(C)C)c3cc(Br)ccc32)c1,5.261335849761963,0.8328339600944994,C/C=C/C(=O)NC1CCC(O)(c2cc(CNC)cc([N+](=O)[O-])c2)c2ccc(Br)cc21,warhead_installed
BB-2002 BB-0164,"[2002, 164]",[107],CCOC(=O)C12CCCC1=CC(O)(c1c(CC)noc1NC(=O)OC(C)(C)C)C2,5.070318698883057,0.8321603605706317,C/C=C/C(=O)Nc1onc(CC)c1C1(O)C=C2CCCC2(C(=O)OCC)C1,warhead_installed
BB-2001 BB-0233,"[2001, 233]",[107],COC(=O)c1c(CC(=O)O)[nH]c(C(C)(O)c2cccc3c2CC(NC(=O)OC(C)(C)C)CC3)c1C,5.086166858673096,0.8321222961952159,C/C=C/C(=O)NC1CCc2cccc(C(C)(O)c3[nH]c(CC(=O)O)c(C(=O)OC)c3C)c2C1,warhead_installed
BB-2001 BB-0721,"[2001, 721]",[107],CC(=O)N1CC2CCC(O)(c3cccc4c3CC(NC(=O)OC(C)(C)C)CC4)c3cccc1c32,5.086166858673096,0.8316275367351715,C/C=C/C(=O)NC1CCc2cccc(C3(O)CCC4CN(C(C)=O)c5cccc3c54)c2C1,warhead_installed
BB-2072 BB-1238,"[2072, 1238]",[62],COC(=O)C1CN(c2ccc(F)cc2CCNC(=O)OC(C)(C)C)c2ccc(Br)cc21,5.078719139099121,0.8315814098212359,C/C=C/C(=O)NCCc1cc(F)ccc1N1CC(C(=O)OC)c2cc(Br)ccc21,warhead_installed
BB-2001 BB-0681,"[2001, 681]",[55],COC(=O)C1(F)CCN(c2cccc3c2CC(NC(=O)OC(C)(C)C)CC3)CC1,5.086166858673096,0.8313684334683277,C/C=C/C(=O)NC1CCc2cccc(N3CCC(F)(C(=O)OC)CC3)c2C1,warhead_installed
BB-2058 BB-1453,"[2058, 1453]",[47],CC(=O)Cn1c(-c2ccc(NC(=O)OC(C)(C)C)c3c2CCCC3)nc2c1c(=O)[nH]c(=O)n2C,5.083586692810059,0.8313240889487135,C/C=C/C(=O)Nc1ccc(-c2nc3c(c(=O)[nH]c(=O)n3C)n2CC(C)=O)c2c1CCCC2,warhead_installed
BB-2021 BB-0206,"[2021, 206]",[107],CC(C)(C)OC(=O)NCCc1cc2c(cc1C1(O)CCC(c3cncc(F)c3)C1)OCO2,5.079010009765625,0.8295237676420619,C/C=C/C(=O)NCCc1cc2c(cc1C1(O)CCC(c3cncc(F)c3)C1)OCO2,warhead_installed
BB-2002 BB-0335,"[2002, 335]",[107],CCc1noc(NC(=O)OC(C)(C)C)c1C1(O)CC(C(=O)O)c2c(OC)cccc21,5.070318698883057,0.8291111815685831,C/C=C/C(=O)Nc1onc(CC)c1C1(O)CC(C(=O)O)c2c(OC)cccc21,warhead_installed
BB-2002 BB-1640,"[2002, 1640]",[62],CCc1noc(NC(=O)OC(C)(C)C)c1N1CCOc2c(Cl)cc(Br)cc2C1,5.070318698883057,0.8289782187820497,C/C=C/C(=O)Nc1onc(CC)c1N1CCOc2c(Cl)cc(Br)cc2C1,warhead_installed
BB-2072 BB-0867,"[2072, 867]",[55],CC1SCCN(c2ccc(F)cc2CCNC(=O)OC(C)(C)C)C1C,5.078719139099121,0.8288411501306843,C/C=C/C(=O)NCCc1cc(F)ccc1N1CCSC(C)C1C,warhead_installed
BB-2078 BB-1868,"[2078, 1868]",[107],COCc1ccc(NC(=O)OC(C)(C)C)cc1C(O)c1c(C(=O)O)[nH]c2cc(Br)ccc12,5.0787506103515625,0.828795758569402,C/C=C/C(=O)Nc1ccc(COC)c(C(O)c2c(C(=O)O)[nH]c3cc(Br)ccc23)c1,warhead_installed
BB-2002 BB-0465,"[2002, 465]",[62],CCc1noc(NC(=O)OC(C)(C)C)c1N(CC(=O)O)Cc1c(F)cccc1Cl,5.070318698883057,0.8287144279788049,C/C=C/C(=O)Nc1onc(CC)c1N(CC(=O)O)Cc1c(F)cccc1Cl,warhead_installed
BB-2078 BB-1522,"[2078, 1522]",[55],COCc1ccc(NC(=O)OC(C)(C)C)cc1N1CCCC(n2ccc(C(=O)O)n2)C1,5.0787506103515625,0.8284768183791148,C/C=C/C(=O)Nc1ccc(COC)c(N2CCCC(n3ccc(C(=O)O)n3)C2)c1,warhead_installed
BB-2002 BB-1466,"[2002, 1466]",[107],CCc1noc(NC(=O)OC(C)(C)C)c1C1(O)CCC(O)(c2cccc(Cl)c2)CC1,5.070318698883057,0.8282597724320157,C/C=C/C(=O)Nc1onc(CC)c1C1(O)CCC(O)(c2cccc(Cl)c2)CC1,warhead_installed
BB-2053 BB-0721,"[2053, 721]",[107],CC(=O)N1CC2CCC(O)(c3sc(NC(=O)OC(C)(C)C)nc3C(C)(C)C)c3cccc1c32,5.094944000244141,0.8282544362290343,C/C=C/C(=O)Nc1nc(C(C)(C)C)c(C2(O)CCC3CN(C(C)=O)c4cccc2c43)s1,warhead_installed
BB-2095 BB-1453,"[2095, 1453]",[47],CC(=O)Cn1c(-c2cc(C)c(NC(=O)OC(C)(C)C)cc2C)nc2c1c(=O)[nH]c(=O)n2C,5.086318016052246,0.8281173418839005,C/C=C/C(=O)Nc1cc(C)c(-c2nc3c(c(=O)[nH]c(=O)n3C)n2CC(C)=O)cc1C,warhead_installed
BB-2002 BB-1296,"[2002, 1296]",[62],CCc1noc(NC(=O)OC(C)(C)C)c1N1CCCn2cc(-c3ccccc3)nc21,5.070318698883057,0.8278343734270711,C/C=C/C(=O)Nc1onc(CC)c1N1CCCn2cc(-c3ccccc3)nc21,warhead_installed
BB-2072 BB-0861,"[2072, 861]",[55],CCc1csc(C2CCCN(c3ccc(F)cc3CCNC(=O)OC(C)(C)C)C2)n1,5.078719139099121,0.826196550933157,C/C=C/C(=O)NCCc1cc(F)ccc1N1CCCC(c2nc(CC)cs2)C1,warhead_installed
BB-2001 BB-1862,"[2001, 1862]",[107],CCOC(=O)c1cc2c([nH]1)CCCC2(O)c1cccc2c1CC(NC(=O)OC(C)(C)C)CC2,5.086166858673096,0.8254300771662174,C/C=C/C(=O)NC1CCc2cccc(C3(O)CCCc4[nH]c(C(=O)OCC)cc43)c2C1,warhead_installed
BB-2038 BB-1466,"[2038, 1466]",[107],CC(C)(C)OC(=O)Nc1n[nH]c2ccc(F)c(C3(O)CCC(O)(c4cccc(Cl)c4)CC3)c12,5.089232921600342,0.8246022579818059,C/C=C/C(=O)Nc1n[nH]c2ccc(F)c(C3(O)CCC(O)(c4cccc(Cl)c4)CC3)c12,warhead_installed
BB-2021 BB-1230,"[2021, 1230]",[55],C[C@@H]1C[C@H](C(=O)O)C[C@H](C)N1c1cc2c(cc1CCNC(=O)OC(C)(C)C)OCO2,5.079010009765625,0.8244521180524225,C/C=C/C(=O)NCCc1cc2c(cc1N1[C@H](C)C[C@H](C(=O)O)C[C@@H]1C)OCO2,warhead_installed
BB-2036 BB-1640,"[2036, 1640]",[50],CC1(C)Cc2oc(NC(=O)OC(C)(C)C)nc2C(O)(c2cc(Br)cc3c2OCCNC3)C1,5.248382091522217,0.8238070348010118,C/C=C/C(=O)Nc1nc2c(o1)CC(C)(C)CC2(O)c1cc(Br)cc2c1OCCNC2,warhead_installed
BB-2080 BB-0840,"[2080, 840]",[55],Cc1cc(N2CCC(C(=O)O)(c3cccc(Cl)c3)CC2)c(CNC(=O)OC(C)(C)C)cc1O,5.093694686889648,0.8237716169964017,C/C=C/C(=O)NCc1cc(O)c(C)cc1N1CCC(C(=O)O)(c2cccc(Cl)c2)CC1,warhead_installed
BB-2013 BB-0087,"[2013, 87]",[107],CC(C)(C)OC(=O)NC1CCN(c2ccccc2C2(O)CCN(Cc3cccs3)CC2)C1,5.089014053344727,0.8234937917912906,C/C=C/C(=O)NC1CCN(c2ccccc2C2(O)CCN(Cc3cccs3)CC2)C1,warhead_installed
BB-2036 BB-1640,"[2036, 1640]",[82],CC1(C)Cc2oc(NC(=O)OC(C)(C)C)nc2C(N2CCOc3c(Cl)cc(Br)cc3C2)C1,5.248382091522217,0.8232497746117858,C/C=C/C(=O)Nc1nc2c(o1)CC(C)(C)CC2N1CCOc2c(Cl)cc(Br)cc2C1,warhead_installed
BB-2078 BB-1230,"[2078, 1230]",[55],COCc1ccc(NC(=O)OC(C)(C)C)cc1N1[C@H](C)C[C@H](C(=O)O)C[C@@H]1C,5.0787506103515625,0.8231047203945546,C/C=C/C(=O)Nc1ccc(COC)c(N2[C@H](C)C[C@H](C(=O)O)C[C@@H]2C)c1,warhead_installed
BB-2089 BB-0805,"[2089, 805]",[47],Cc1nn2c(c1-c1cnccc1C(C)CNC(=O)OC(C)(C)C)CNCC2,5.0910325050354,0.8224117471720378,C/C=C/C(=O)NCC(C)c1ccncc1-c1c(C)nn2c1CNCC2,warhead_installed
BB-2063 BB-0233,"[2063, 233]",[107],COC(=O)c1c(CC(=O)O)[nH]c(C(C)(O)c2cc(C)c(Br)nc2CNC(=O)OC(C)(C)C)c1C,5.093749046325684,0.8219275969043891,C/C=C/C(=O)NCc1nc(Br)c(C)cc1C(C)(O)c1[nH]c(CC(=O)O)c(C(=O)OC)c1C,warhead_installed
BB-2002 BB-1453,"[2002, 1453]",[47],CCc1noc(NC(=O)OC(C)(C)C)c1-c1nc2c(c(=O)[nH]c(=O)n2C)n1CC(C)=O,5.070318698883057,0.8210402801385257,C/C=C/C(=O)Nc1onc(CC)c1-c1nc2c(c(=O)[nH]c(=O)n2C)n1CC(C)=O,warhead_installed
BB-2030 BB-0659,"[2030, 659]",[55],Cc1noc(C2CN(c3cc(NC(=O)OC(C)(C)C)ccc3CS(C)(=O)=O)CC23COC3)n1,5.083686351776123,0.8209639958744255,C/C=C/C(=O)Nc1ccc(CS(C)(=O)=O)c(N2CC(c3nc(C)no3)C3(COC3)C2)c1,warhead_installed
BB-2006 BB-0089,"[2006, 89]",[62],CC1CN(c2nn(C)cc2NC(=O)OC(C)(C)C)CC2(C1)OC(=O)Nc1ccc(Cl)c(F)c12,5.085646152496338,0.8208450815912605,C/C=C/C(=O)Nc1cn(C)nc1N1CC(C)CC2(C1)OC(=O)Nc1ccc(Cl)c(F)c12,warhead_installed
BB-2006 BB-0566,"[2006, 566]",[107],Cn1cc(NC(=O)OC(C)(C)C)c(C(C)(O)c2nc3ccc(Cl)cc3n2C)n1,5.085646152496338,0.8193977442521909,C/C=C/C(=O)Nc1cn(C)nc1C(C)(O)c1nc2ccc(Cl)cc2n1C,warhead_installed
BB-2058 BB-1695,"[2058, 1695]",[10],Cc1cc2c(c(Sc3ccc(NC(=O)OC(C)(C)C)c4c3CCCC4)c1)CCNC2,5.083586692810059,0.8189301843247685,C/C=C/C(=O)Nc1ccc(Sc2cc(C)cc3c2CCNC3)c2c1CCCC2,warhead_installed
BB-2022 BB-1302,"[2022, 1302]",[55],CC(C)(C)OC(=O)NCC(=O)c1ccc(F)cc1N1CCCC1Cc1cc(F)ccc1F,5.267487525939941,0.8181173225362804,C/C=C/C(=O)NCC(=O)c1ccc(F)cc1N1CCCC1Cc1cc(F)ccc1F,warhead_installed
BB-2002 BB-0432,"[2002, 432]",[107],CCc1noc(NC(=O)OC(C)(C)C)c1C(O)c1sccc1B(O)O,5.070318698883057,0.8179511856230549,C/C=C/C(=O)Nc1onc(CC)c1C(O)c1sccc1B(O)O,warhead_installed
BB-1825 BB-0760,"[1825, 760]",[96],Cc1cnc(C(C)(C(=O)O)n2nc(C(C)C)c(NC(=O)OC(C)(C)C)c2C(N)=O)c(Br)c1,4.271042346954346,0.8174231198804707,C/C=C/C(=O)Nc1c(C(C)C)nn(C(C)(C(=O)O)c2ncc(C)cc2Br)c1C(N)=O,warhead_installed
BB-2007 BB-1007,"[2007, 1007]",[39],Cc1noc(C2CC3CCC2N3C2(C(=O)O)C=C(NC(=O)OC(C)(C)C)CC(C)C2)n1,5.255328178405762,0.8155690669579974,C/C=C/C(=O)NC1=CC(C(=O)O)(N2C3CCC2C(c2nc(C)no2)C3)CC(C)C1,warhead_installed
BB-2056 BB-0646,"[2056, 646]",[47],Cc1cc(Cl)cc(-c2cnccc2CCNC(=O)OC(C)(C)C)c1C(N)=O,5.081582069396973,0.8143403590713524,C/C=C/C(=O)NCCc1ccncc1-c1cc(Cl)cc(C)c1C(N)=O,warhead_installed
BB-2007 BB-0760,"[2007, 760]",[50],CC(=O)c1ncc(C)cc1C1(O)C=C(NC(=O)OC(C)(C)C)CC(C)C1,5.255328178405762,0.8131284907039543,C/C=C/C(=O)NC1=CC(O)(c2cc(C)cnc2C(C)=O)CC(C)C1,warhead_installed
BB-2030 BB-0233,"[2030, 233]",[107],COC(=O)c1c(CC(=O)O)[nH]c(C(C)(O)c2cc(NC(=O)OC(C)(C)C)ccc2CS(C)(=O)=O)c1C,5.083686351776123,0.8130734751489166,C/C=C/C(=O)Nc1ccc(CS(C)(=O)=O)c(C(C)(O)c2[nH]c(CC(=O)O)c(C(=O)OC)c2C)c1,warhead_installed
BB-2005 BB-1453,"[2005, 1453]",[107],Cc1c(C(C)(O)Cn2c(Br)nc3c2c(=O)[nH]c(=O)n3C)cn(C)c(=O)c1NC(=O)OC(C)(C)C,5.092567443847656,0.8129522300681559,C/C=C/C(=O)Nc1c(C)c(C(C)(O)Cn2c(Br)nc3c2c(=O)[nH]c(=O)n3C)cn(C)c1=O,warhead_installed
BB-2002 BB-1727,"[2002, 1727]",[107],CCc1noc(NC(=O)OC(C)(C)C)c1C(C)(O)c1ccc(C(F)(F)F)s1,5.070318698883057,0.8126369649220515,C/C=C/C(=O)Nc1onc(CC)c1C(C)(O)c1ccc(C(F)(F)F)s1,warhead_installed
BB-2056 BB-1640,"[2056, 1640]",[55],CC(C)(C)OC(=O)NCCc1ccncc1N1CCOc2c(Cl)cc(Br)cc2C1,5.081582069396973,0.8124521686303179,C/C=C/C(=O)NCCc1ccncc1N1CCOc2c(Cl)cc(Br)cc2C1,warhead_installed
BB-2001 BB-1912,"[2001, 1912]",[47],CC(=O)Nc1cc2c(cc1-c1cccc3c1CC(NC(=O)OC(C)(C)C)CC3)C(=O)CC2,5.086166858673096,0.8124006720082779,C/C=C/C(=O)NC1CCc2cccc(-c3cc4c(cc3NC(C)=O)CCC4=O)c2C1,warhead_installed
BB-2078 BB-1466,"[2078, 1466]",[107],COCc1ccc(NC(=O)OC(C)(C)C)cc1C1(O)CCC(O)(c2cccc(Cl)c2)CC1,5.0787506103515625,0.8118827320349266,C/C=C/C(=O)Nc1ccc(COC)c(C2(O)CCC(O)(c3cccc(Cl)c3)CC2)c1,warhead_installed
